Show_Name,startYear,Episode_Name,seasonNumber,episodeNumber_in_season,episodeNumber_overall,averageRating,numVotes
Modern Family,2009,Tableau Vivant,3,23,71,7.9,1917
Modern Family,2009,Baby on Board,3,24,72,8.5,2246
Modern Family,2009,Bringing Up Baby,4,1,73,8.2,2310
Modern Family,2009,Schooled,4,2,74,8.6,2475
Modern Family,2009,Snip,4,3,75,7.9,1953
Modern Family,2009,The Butler's Escape,4,4,76,7.6,1889
Modern Family,2009,Open House of Horrors,4,5,77,7.9,1962
Modern Family,2009,Yard Sale,4,6,78,7.7,1899
Modern Family,2009,Arrested,4,7,79,8.4,2143
Modern Family,2009,Mistery Date,4,8,80,8.1,2044
Modern Family,2009,When a Tree Falls,4,9,81,7.7,1897
Modern Family,2009,Diamond in the Rough,4,10,82,7.7,1877
Modern Family,2009,New Year's Eve,4,11,83,8,1934
Modern Family,2009,Party Crasher,4,12,84,8.4,2150
Modern Family,2009,Fulgencio,4,13,85,8.9,3436
Modern Family,2009,A Slight at the Opera,4,14,86,7.5,1857
Modern Family,2009,Heart Broken,4,15,87,7.7,1826
Modern Family,2009,Bad Hair Day,4,16,88,7.3,1826
Modern Family,2009,Best Men,4,17,89,8,1945
Modern Family,2009,The Wow Factor,4,18,90,7.6,1817
Modern Family,2009,The Future Dunphys,4,19,91,7.8,1907
Modern Family,2009,Flip Flop,4,20,92,7.7,1816
Modern Family,2009,Career Day,4,21,93,7.5,1768
Modern Family,2009,My Hero,4,22,94,7.8,1832
Modern Family,2009,Games People Play,4,23,95,7.7,1772
Modern Family,2009,Goodnight Gracie,4,24,96,8.2,2049
Modern Family,2009,Suddenly Last Summer,5,1,97,8,2113
Modern Family,2009,First Days,5,2,98,7.7,1922
Modern Family,2009,Larry's Wife,5,3,99,7.5,1835
Modern Family,2009,Farm Strong,5,4,100,7.7,1832
Modern Family,2009,The Late Show,5,5,101,8,1995
Modern Family,2009,The Help,5,6,102,7.6,1857
Modern Family,2009,A Fair to Remember,5,7,103,7.8,1966
Modern Family,2009,ClosetCon '13,5,8,104,7.6,1836
Modern Family,2009,The Big Game,5,9,105,7.5,1766
Modern Family,2009,The Old Man & the Tree,5,10,106,7.8,1822
Modern Family,2009,And One to Grow On,5,11,107,7.5,1759
Modern Family,2009,Under Pressure,5,12,108,8.4,2212
Modern Family,2009,Three Dinners,5,13,109,8,1897
Modern Family,2009,iSpy,5,14,110,7.9,1829
Modern Family,2009,The Feud,5,15,111,7.6,1795
Modern Family,2009,Spring-A-Ding-Fling,5,16,112,7.6,1763
Modern Family,2009,Other People's Children,5,17,113,7.8,1767
Modern Family,2009,Vegas,5,18,114,9.1,3899
Modern Family,2009,A Hard Jay's Night,5,19,115,7.7,1759
Modern Family,2009,Australia,5,20,116,8,1949
Modern Family,2009,Sleeper,5,21,117,7.5,1706
Modern Family,2009,Message Received,5,22,118,8.2,1814
Modern Family,2009,The Wedding Part 1,5,23,119,8.1,1861
Modern Family,2009,The Wedding Part 2,5,24,120,8.6,2222
Modern Family,2009,The Long Honeymoon,6,1,121,7.9,2009
Modern Family,2009,Don't Push,6,2,122,7.9,1898
Modern Family,2009,The Cold,6,3,123,7.8,1808
Modern Family,2009,Marco Polo,6,4,124,7.8,1819
Modern Family,2009,Won't You Be Our Neighbor,6,5,125,7.8,1811
Modern Family,2009,Halloween 3: AwesomeLand,6,6,126,7.5,1778
Modern Family,2009,Queer Eyes Full Hearts,6,7,127,8,1828
Modern Family,2009,Three Turkeys,6,8,128,8.3,2017
Modern Family,2009,Strangers in the Night,6,9,129,7.5,1752
Modern Family,2009,Haley's 21st Birthday,6,10,130,8,1829
Modern Family,2009,The Day We Almost Died,6,11,131,8.2,2107
Modern Family,2009,The Big Guns,6,12,132,7.6,1744
Modern Family,2009,Rash Decisions,6,13,133,7.5,1712
Modern Family,2009,Valentine's Day 4: Twisted Sister,6,14,134,7.7,1739
Modern Family,2009,Fight or Flight,6,15,135,7.8,1792
Modern Family,2009,Connection Lost,6,16,136,9.5,7289
Modern Family,2009,Closet? You'll Love It!,6,17,137,7.8,1795
Modern Family,2009,Spring Break,6,18,138,7.3,1688
Modern Family,2009,Grill Interrupted,6,19,139,7.6,1684
Modern Family,2009,Knock 'Em Down,6,20,140,8,1754
Modern Family,2009,Integrity,6,21,141,7.6,1609
Modern Family,2009,Patriot Games,6,22,142,7.9,1697
Modern Family,2009,Crying Out Loud,6,23,143,8.2,1737
Modern Family,2009,American Skyper,6,24,144,8.7,2235
Modern Family,2009,Summer Lovin',7,1,145,7.7,1806
Modern Family,2009,The Day Alex Left for College,7,2,146,7.6,1699
Modern Family,2009,The Closet Case,7,3,147,7.7,1637
Modern Family,2009,She Crazy,7,4,148,7.6,1649
Modern Family,2009,The Verdict,7,5,149,7.4,1592
Modern Family,2009,The More You Ignore Me,7,6,150,7.4,1519
Modern Family,2009,Phil's Sexy Sexy House,7,7,151,8.6,2106
Modern Family,2009,Clean Out Your Junk Drawer,7,8,152,7.9,1821
Modern Family,2009,White Christmas,7,9,153,8.3,1792
Modern Family,2009,Playdates,7,10,154,7.6,1601
Modern Family,2009,Spread Your Wings,7,11,155,7.9,1658
Modern Family,2009,Clean for a Day,7,12,156,7.4,1496
Modern Family,2009,Thunk in the Trunk,7,13,157,7.5,1533
Modern Family,2009,The Storm,7,14,158,8,1666
Modern Family,2009,I Don't Know How She Does It,7,15,159,7.6,1479
Modern Family,2009,The Cover-Up,7,16,160,8,1565
Modern Family,2009,Express Yourself,7,17,161,7.6,1468
Modern Family,2009,The Party,7,18,162,8.6,2032
Modern Family,2009,Man Shouldn't Lie,7,19,163,7.6,1504
Modern Family,2009,Promposal,7,20,164,7.4,1435
Modern Family,2009,Crazy Train,7,21,165,8,1581
Modern Family,2009,Double Click,7,22,166,8.1,1577
Modern Family,2009,A Tale of Three Cities,8,1,167,8,1732
Modern Family,2009,A Stereotypical Day,8,2,168,7.5,1512
Modern Family,2009,Blindsided,8,3,169,7.4,1453
Modern Family,2009,Weathering Heights,8,4,170,7.5,1433
Modern Family,2009,Halloween 4: The Revenge of Rod Skyhook,8,5,171,7.6,1483
Modern Family,2009,Grab It,8,6,172,7.2,1407
Modern Family,2009,Thanksgiving Jamboree,8,7,173,7.3,1443
Modern Family,2009,The Alliance,8,8,174,8.3,1883
Modern Family,2009,Snow Ball,8,9,175,7.2,1386
Modern Family,2009,Ringmaster Keifth,8,10,176,7.4,1403
Modern Family,2009,Sarge & Pea,8,11,177,7.2,1372
Modern Family,2009,Do You Believe in Magic,8,12,178,7.7,1426
Modern Family,2009,Do It Yourself,8,13,179,7.3,1304
Modern Family,2009,Heavy Is the Head,8,14,180,7.1,1274
Modern Family,2009,Finding Fizbo,8,15,181,6.8,1304
Modern Family,2009,Basketball,8,16,182,7.2,1308
Modern Family,2009,Pig Moon Rising,8,17,183,7.5,1333
Modern Family,2009,Five Minutes,8,18,184,7.6,1602
Modern Family,2009,Frank's Wedding,8,19,185,7.4,1315
Modern Family,2009,All Things Being Equal,8,20,186,6.3,1700
Modern Family,2009,Alone Time,8,21,187,7.6,1322
Modern Family,2009,The Graduates,8,22,188,7.8,1368
Modern Family,2009,Lake Life,9,1,189,7.8,1756
Modern Family,2009,The Long Goodbye,9,2,190,7.3,1358
Modern Family,2009,Catch of the Day,9,3,191,7.4,1281
Modern Family,2009,Sex Lies & Kickball,9,4,192,7.1,1296
Modern Family,2009,It's the Great Pumpkin Phil Dunphy,9,5,193,7.2,1259
Modern Family,2009,Ten Years Later,9,6,194,7.2,1273
Modern Family,2009,Winner Winner Turkey Dinner,9,7,195,7.6,1320
Modern Family,2009,Brushes with Celebrity,9,8,196,7.3,1354
Modern Family,2009,Tough Love,9,9,197,7.2,1203
Modern Family,2009,No Small Feet,9,10,198,7.1,1214
Modern Family,2009,He Said She Shed,9,11,199,7.1,1188
Modern Family,2009,Dear Beloved Family,9,12,200,7.4,1239
Modern Family,2009,In Your Head,9,13,201,7.3,1291
Modern Family,2009,Written in the Stars,9,14,202,7.5,1258
Modern Family,2009,Spanks for the Memories,9,15,203,6.9,1202
Modern Family,2009,Wine Weekend,9,16,204,7.4,1285
Modern Family,2009,Royal Visit,9,17,205,7.2,1169
Modern Family,2009,Daddy Issues,9,18,206,8.1,1370
Modern Family,2009,CHiPs and Salsa,9,19,207,6.9,1147
Modern Family,2009,Mother!,9,20,208,7.4,1203
Modern Family,2009,The Escape,9,21,209,7.5,1176
Modern Family,2009,Clash of Swords,9,22,210,6.7,1203
Modern Family,2009,I Love a Parade,10,1,211,6.6,1394
Modern Family,2009,Kiss and Tell,10,2,212,7.9,1423
Modern Family,2009,A Sketchy Area,10,3,213,7.2,1286
Modern Family,2009,Torn Between Two Lovers,10,4,214,7.3,1292
Modern Family,2009,Good Grief,10,5,215,7.2,1324
Modern Family,2009,On the Same Paige,10,6,216,7.4,1220
Modern Family,2009,Did the Chicken Cross the Road?,10,7,217,7.3,1146
Modern Family,2009,Kids These Days,10,8,218,7.2,1149
Modern Family,2009,Putting Down Roots,10,9,219,7.4,1137
Modern Family,2009,Stuck in a Moment,10,10,220,7.5,1152
Modern Family,2009,A Moving Day,10,11,221,7,1109
Modern Family,2009,Blasts from the Past,10,12,222,6.7,1125
Modern Family,2009,Whanex?,10,13,223,6.8,1088
Modern Family,2009,We Need to Talk About Lily,10,14,224,7.3,1120
Modern Family,2009,SuperShowerBabyBowl,10,15,225,7.2,1085
Modern Family,2009,Red Alert,10,16,226,6.8,1097
Modern Family,2009,The Wild,10,17,227,7.1,1140
Modern Family,2009,Stand by Your Man,10,18,228,7.2,1073
Modern Family,2009,Yes-Woman,10,19,229,7.5,1133
Modern Family,2009,Can't Elope,10,20,230,7.9,1184
Modern Family,2009,Commencement,10,21,231,7.1,1114
Modern Family,2009,A Year of Birthdays,10,22,232,8.6,1543
Modern Family,2009,New Kids on the Block,11,1,233,6.5,1343
Modern Family,2009,Snapped,11,2,234,7.2,1225
Modern Family,2009,Perfect Pairs,11,3,235,7.2,1131
Modern Family,2009,Pool Party,11,4,236,7.1,1140
Modern Family,2009,The Last Halloween,11,5,237,7.7,1200
Modern Family,2009,A Game of Chicken,11,6,238,6.8,1123
Modern Family,2009,The Last Thanksgiving,11,7,239,7.2,1111
Modern Family,2009,Tree's a Crowd,11,8,240,7,1074
Modern Family,2009,The Last Christmas,11,9,241,7.6,1222
Modern Family,2009,The Prescott,11,10,242,8,1669
Modern Family,2009,Legacy,11,11,243,7.6,1300
Modern Family,2009,Dead on a Rival,11,12,244,6.8,1053
Modern Family,2009,Paris,11,13,245,7.6,1247
Modern Family,2009,Spuds,11,14,246,7.5,1161
Modern Family,2009,Baby Steps,11,15,247,7.2,1046
Modern Family,2009,I'm Going to Miss This,11,16,248,7.2,1029
Modern Family,2009,Finale Part 1,11,17,249,8.2,1445
Modern Family,2009,Finale Part 2,11,18,250,8.5,1963
